Area,Instituicao,Modalidade,Inicio Doutorado_disc,Inicio Mestrado_disc,Docentes_disc,Dissertacoes_disc,Teses_disc,Di/Te_disc,TotalPeriodicos_disc,Total Qualificados_disc,A1_disc,A2_disc,B1_disc,B2_disc,B3_disc,B4_disc,B5_disc,C_disc,NC_disc,Conferencias_disc,Livros_disc,Capitulos_disc,Coletaneas_disc,Prod.Artistica_disc,Outros_disc,Conceito
CienAgrarias_I,USP/ESALQ,Acad,"(1969.4, 1973.8]","[1960, 1964.9]","[4, 10.2]","(14.2, 28.4]","(18, 27]","(1.237, 1.467]","(99.3, 132.4]","(92.7, 123.6]","(7.2, 14.4]","(23.7, 31.6]","(24.2, 36.3]","(21.6, 32.4]","[0, 7.5]","[0, 8.6]","(8.4, 16.8]","[0, 4.5]","[0, 5.1]","[0, 33.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
CienAgrarias_I,USP/ESALQ,Acad,"(1982.6, 1987]","(1964.9, 1969.8]","(16.4, 22.6]","(56.8, 71]","(45, 54]","(1.237, 1.467]","(200.6, 236.7]","(187.4, 222.3]","[0, 7.2]","(7.9, 15.8]","(72.6, 84.7]","(64.8, 76.6]","(15, 22.5]","[0, 8.6]","(25.2, 33.6]","[0, 4.5]","[0, 5.1]","(137, 172.5]","[0, 4.6]","(60.8, 76]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
CienAgrarias_I,UEL,Acad,"(1995.8, 2000.2]","(1989.4, 1994.3]","(22.6, 28.8]","(56.8, 71]","(36, 45]","(1.237, 1.467]","(200.6, 236.7]","(187.4, 222.3]","[0, 7.2]","(7.9, 15.8]","(60.5, 72.6]","(54, 64.8]","(37.5, 45]","[0, 8.6]","(8.4, 16.8]","[0, 4.5]","(5.1, 10.2]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UEM,Acad,"(1995.8, 2000.2]","(1994.3, 1999.2]","(16.4, 22.6]","(56.8, 71]","(36, 45]","(1.467, 1.687]","(236.7, 289.8]","(222.3, 276.4]","[0, 7.2]","(15.8, 23.7]","(72.6, 84.7]","(95.4, 120.2]","(15, 22.5]","[0, 8.6]","(33.6, 42]","[0, 4.5]","(10.2, 15.3]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UEM,Acad,"(2004.6, 2009]","(1999.2, 2004.1]","(10.2, 16.4]","(28.4, 42.6]","(9, 18]","(2.719, 3.767]","(165.5, 200.6]","(154.5, 187.4]","[0, 7.2]","(15.8, 23.7]","(48.4, 60.5]","(21.6, 32.4]","(7.5, 15]","[0, 8.6]","(25.2, 33.6]","[0, 4.5]","(10.2, 15.3]","[0, 33.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UENF,Acad,"(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","(14.2, 28.4]","(9, 18]","(1.237, 1.467]","(99.3, 132.4]","(92.7, 123.6]","(7.2, 14.4]","[0, 7.9]","(36.3, 48.4]","(43.2, 54]","(7.5, 15]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UENF,Acad,"(1991.4, 1995.8]","(1989.4, 1994.3]","(35, 41.2]","(56.8, 71]","(54, 63]","(0.972, 1.237]","(289.8, 369.2]","(276.4, 346.2]","(7.2, 14.4]","(23.7, 31.6]","(101.4, 134.3]","(95.4, 120.2]","(22.5, 30]","(17.2, 25.8]","(16.8, 25.2]","(4.5, 9]","(20.4, 25.5]","(254.5, 320]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UFERSA,Acad,"(2004.6, 2009]","(1984.5, 1989.4]","[4, 10.2]","(28.4, 42.6]","(18, 27]","(1.467, 1.687]","(165.5, 200.6]","(154.5, 187.4]","[0, 7.2]","[0, 7.9]","(36.3, 48.4]","(43.2, 54]","(7.5, 15]","(8.6, 17.2]","(42, 50.4]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UFLA,Acad,"(1995.8, 2000.2]","(1979.6, 1984.5]","[4, 10.2]","(28.4, 42.6]","(9, 18]","(1.687, 1.926]","(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","(24.2, 36.3]","(32.4, 43.2]","(22.5, 30]","[0, 8.6]","(8.4, 16.8]","[0, 4.5]","[0, 5.1]","(100.5, 137]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UFLA,Acad,"(1995.8, 2000.2]","(1994.3, 1999.2]","(10.2, 16.4]","(28.4, 42.6]","(18, 27]","(1.467, 1.687]","(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(54, 64.8]","[0, 7.5]","(8.6, 17.2]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(33.5, 67]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UFLA,Acad,"(1987, 1991.4]","(1974.7, 1979.6]","(16.4, 22.6]","(71, 86.2]","(45, 54]","(1.467, 1.687]","(289.8, 369.2]","(276.4, 346.2]","[0, 7.2]","(7.9, 15.8]","(60.5, 72.6]","(120.2, 271]","(30, 37.5]","(8.6, 17.2]","(33.6, 42]","[0, 4.5]","[0, 5.1]","(211, 254.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UFLA,Acad,"(2004.6, 2009]","(1994.3, 1999.2]","(10.2, 16.4]","(28.4, 42.6]","[0, 9]","(3.767, 6.772]","(165.5, 200.6]","(123.6, 154.5]","(21.6, 28.8]","(39.5, 47.4]","(12.1, 24.2]","(21.6, 32.4]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(30.6, 36.7]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UFLA,Acad,"(1995.8, 2000.2]","(1989.4, 1994.3]","(16.4, 22.6]","(42.6, 56.8]","(18, 27]","(2.252, 2.719]","(132.4, 165.5]","(123.6, 154.5]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(76.6, 95.4]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(100.5, 137]","[0, 4.6]","(76, 92.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
CienAgrarias_I,UFLA,Acad,"(2000.2, 2004.6]","(1994.3, 1999.2]","(10.2, 16.4]","(28.4, 42.6]","(18, 27]","(1.926, 2.252]","(132.4, 165.5]","(92.7, 123.6]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(32.4, 43.2]","[0, 7.5]","[0, 8.6]","(33.6, 42]","[0, 4.5]","(10.2, 15.3]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Cinco
