"Area","Instituicao","Modalidade","Inicio_Doutorado_disc","Inicio_Mestrado_disc","Docentes_disc","Dissertacoes_disc","Teses_disc","Di_Te_disc","TotalPeriodicos_disc","Total_Qualificados_disc","A1_disc","A2_disc","B1_disc","B2_disc","B3_disc","B4_disc","B5_disc","C_disc","NC_disc","Conferencias_disc","Livros_disc","Capitulos_disc","Coletaneas_disc","Prod_Artistica_disc","Outros_disc","Conceito"
"Admin_CienContabeis_Tur","IBMEC","Prof",NA,"(1994.3, 1999.2]","(10.2, 16.4]","(159.8, 293]","[0, 9]",NA,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","[0, 12.1]","(10.8, 21.6]","[0, 7.5]","(8.6, 17.2]","(8.4, 16.8]","(13.5, 18]","(5.1, 10.2]","(137, 172.5]","(4.6, 9.2]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","PUC/MG","Acad","(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(100.5, 137]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UEM","Acad",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(172.5, 211]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFBA","Acad","(1991.4, 1995.8]","(1979.6, 1984.5]","(22.6, 28.8]","(42.6, 56.8]","(18, 27]","(1.926, 2.252]","(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(21.6, 32.4]","(22.5, 30]","(8.6, 17.2]","(8.4, 16.8]","(22.5, 27]","(5.1, 10.2]","(320, 445]","(9.2, 13.8]","(76, 92.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Cinco"
"Admin_CienContabeis_Tur","UFBA","Prof",NA,"(1994.3, 1999.2]","(22.6, 28.8]","(86.2, 104.8]","[0, 9]",NA,"(99.3, 132.4]","(92.7, 123.6]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(21.6, 32.4]","(15, 22.5]","(8.6, 17.2]","(8.4, 16.8]","(13.5, 18]","[0, 5.1]","(254.5, 320]","(4.6, 9.2]","(92.4, 111.4]","[0, 2.9]","[0, 6.2]","(12.4, 15.5]","Quatro"
"Admin_CienContabeis_Tur","UFMG","Acad",NA,"(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",NA,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","[0, 10.8]","(15, 22.5]","(8.6, 17.2]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFPB/J.P.","Acad",NA,"(1974.7, 1979.6]","(10.2, 16.4]","(28.4, 42.6]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(100.5, 137]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFPR","Acad","(2000.2, 2004.6]","(1989.4, 1994.3]","(16.4, 22.6]","(86.2, 104.8]","[0, 9]","(6.772, 87]","(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(10.2, 15.3]","(137, 172.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFRJ","Acad",NA,"(1994.3, 1999.2]","[4, 10.2]","(28.4, 42.6]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","(17.2, 25.8]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(100.5, 137]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFRN","Acad","(2004.6, 2009]","(1974.7, 1979.6]","(10.2, 16.4]","(56.8, 71]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","(8.6, 17.2]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(137, 172.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFSC","Acad","(2004.6, 2009]","(1974.7, 1979.6]","(16.4, 22.6]","(42.6, 56.8]","[0, 9]",NA,"(132.4, 165.5]","(92.7, 123.6]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","(10.8, 21.6]","(22.5, 30]","(17.2, 25.8]","(8.4, 16.8]","(18, 22.5]","(10.2, 15.3]","(254.5, 320]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UFSM","Acad",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",NA,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(15, 22.5]","(8.6, 17.2]","(16.8, 25.2]","[0, 4.5]","[0, 5.1]","(211, 254.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UNB","Acad","(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","(71, 86.2]","[0, 9]",NA,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(22.5, 30]","(8.6, 17.2]","[0, 8.4]","(13.5, 18]","(10.2, 15.3]","(137, 172.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]","Quatro"
"Admin_CienContabeis_Tur","UNESA","Prof",NA,"(1989.4, 1994.3]","[4, 10.2]","(86.2, 104.8]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","(8.4, 16.8]","(13.5, 18]","[0, 5.1]","(137, 172.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UNIFOR","Acad",NA,"(1994.3, 1999.2]","(10.2, 16.4]","(56.8, 71]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","(7.9, 15.8]","[0, 12.1]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(172.5, 211]","(4.6, 9.2]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UNIGRANRIO","Acad",NA,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","(5.1, 10.2]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UNIMEP","Prof",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(56.8, 71]","[0, 9]",NA,"(33.1, 66.2]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(67, 100.5]","(9.2, 13.8]","(76, 92.4]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]","Quatro"
"Admin_CienContabeis_Tur","UNIVALI","Acad","(2004.6, 2009]","(1999.2, 2004.1]","(16.4, 22.6]","(42.6, 56.8]","[0, 9]",NA,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","(15, 22.5]","(8.6, 17.2]","(8.4, 16.8]","(13.5, 18]","[0, 5.1]","(211, 254.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]","Quatro"
"Admin_CienContabeis_Tur","UP","Acad","(2004.6, 2009]","(2004.1, 2009]","(10.2, 16.4]","(56.8, 71]","[0, 9]",NA,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","(12.1, 24.2]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","(137, 172.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","UPM","Prof",NA,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(15, 22.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","USP/RP","Acad",NA,"(1999.2, 2004.1]","(16.4, 22.6]","(71, 86.2]","[0, 9]",NA,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","(8.4, 16.8]","(18, 22.5]","(5.1, 10.2]","(172.5, 211]","(4.6, 9.2]","(15.2, 30.4]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","USP/RP","Acad",NA,"(2004.1, 2009]","(10.2, 16.4]","(14.2, 28.4]","[0, 9]",NA,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","(8.4, 16.8]","(4.5, 9]","[0, 5.1]","(137, 172.5]","(13.8, 18.4]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Quatro"
"Admin_CienContabeis_Tur","FESP/UPE","Prof",NA,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","[0, 5.1]","[0, 33.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","FNH","Acad",NA,"(2004.1, 2009]","(10.2, 16.4]","(126.4, 159.8]","[0, 9]",NA,"(66.2, 99.3]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(5.1, 10.2]","(172.5, 211]","(4.6, 9.2]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]","Tres"
"Admin_CienContabeis_Tur","FPL","Prof",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(126.4, 159.8]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(33.5, 67]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","FUCAPE","Acad",NA,"(2004.1, 2009]","(10.2, 16.4]","(14.2, 28.4]","[0, 9]",NA,"(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","(12.1, 24.2]","(10.8, 21.6]","(15, 22.5]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(172.5, 211]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","Insper","Prof",NA,"(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","(7.2, 14.4]","(7.9, 15.8]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(10.2, 15.3]","(67, 100.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","PUC/SP","Acad",NA,"(1974.7, 1979.6]","[4, 10.2]","(56.8, 71]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(9, 13.5]","(5.1, 10.2]","(172.5, 211]","(18.4, 23]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UAM","Acad",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(42.6, 56.8]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","(8.4, 16.8]","(22.5, 27]","[0, 5.1]","(172.5, 211]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]","Tres"
"Admin_CienContabeis_Tur","UCS","Acad",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(28.4, 42.6]","[0, 9]",NA,"(33.1, 66.2]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(172.5, 211]","(9.2, 13.8]","(60.8, 76]","(2.9, 5.8]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UDESC","Prof",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(28.4, 42.6]","[0, 9]",NA,"(33.1, 66.2]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(10.2, 15.3]","(100.5, 137]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]","Tres"
"Admin_CienContabeis_Tur","UECE","Acad",NA,"(2004.1, 2009]","[4, 10.2]","(28.4, 42.6]","[0, 9]",NA,"(33.1, 66.2]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(100.5, 137]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UFAM","Prof",NA,"(2004.1, 2009]","(10.2, 16.4]","(14.2, 28.4]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(7.5, 15]","(8.6, 17.2]","(8.4, 16.8]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UFBA","Acad",NA,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UFC","Acad",NA,"(2004.1, 2009]","(16.4, 22.6]","[0, 14.2]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(33.5, 67]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]","Tres"
"Admin_CienContabeis_Tur","UFES","Acad",NA,"(1999.2, 2004.1]","[4, 10.2]","(28.4, 42.6]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UFMS","Acad",NA,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",NA,"(33.1, 66.2]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","(9, 13.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UFPE","Acad",NA,"(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",NA,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","(15, 22.5]","(8.6, 17.2]","[0, 8.4]","(4.5, 9]","[0, 5.1]","(100.5, 137]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UFRN","Acad",NA,"(2004.1, 2009]","[4, 10.2]","[0, 14.2]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(33.5, 67]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
"Admin_CienContabeis_Tur","UFRPE","Acad",NA,"(1999.2, 2004.1]","(10.2, 16.4]","(28.4, 42.6]","[0, 9]",NA,"[0, 33.1]","[0, 30.9]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]","Tres"
